ticker,date,price_before,price_after,volume_before,volume_after,strategy_version,market_condition,return_before,return_after,target
EUR/USD,2023-01-02,1871.0247367188636,1461.0144373190963,359710,777505,B,Bullish,-0.06165275652194671,0.007305121678689644,0.06895787820063635
BTC/USD,2023-01-03,1173.753048819497,236.9602383974794,386893,953164,B,Bearish,0.011099456033926286,0.07198814283668184,0.060888686802755554
AMZN,2023-01-04,1423.6365653660953,235.38778275399133,124765,332119,B,Bullish,0.016783857852227066,-0.057392936031347166,-0.07417679388357423
BTC/USD,2023-01-05,1852.7488242368618,123.00610294628615,388025,164244,B,Bearish,-0.05860127975098837,0.021555687721377434,0.08015696747236581
BTC/USD,2023-01-06,1443.7534051954574,1917.3526567690121,949377,453413,A,Bearish,0.07028114957829479,-0.08324180549034768,-0.15352295506864247
GOOGL,2023-01-09,389.82418153709654,1501.265882972113,129389,102158,A,Sideways,-0.0831471267688298,0.028612198708005937,0.11175932547683573
AMZN,2023-01-10,1194.947884316945,771.1776761539219,714987,977351,B,Bearish,-0.02878138296671566,0.05250680755510695,0.08128819052182261
AMZN,2023-01-11,1252.7585881274263,663.4176044465449,198227,799009,B,Bearish,0.036076882752504424,0.016986178795744336,-0.01909070395676009
AMZN,2023-01-12,905.8482754745335,764.4361365171142,493402,864731,A,Bullish,-0.04517592723615987,-0.046753699700237954,-0.0015777724640780866
BTC/USD,2023-01-13,1499.2440476869733,1571.8417092442455,812804,807608,A,Sideways,0.06553503895625437,-0.09373146622822666,-0.15926650518448104
EUR/USD,2023-01-16,1875.2973280611282,1356.6041610337872,791074,962890,B,Bullish,0.04797356532008071,-0.07611022320714285,-0.12408378852722356
AMZN,2023-01-17,1858.580174522875,451.8715789481891,261220,64972,B,Bullish,0.05780456890962685,0.02446059581480524,-0.03334397309482161
BTC/USD,2023-01-18,956.594805667851,430.80773713476026,422217,907450,A,Sideways,-0.07617869282465675,0.08688404336850275,0.1630627361931595
GOOGL,2023-01-19,315.15228709743496,286.9517344554549,297208,484007,A,Sideways,-0.07189057440089142,-0.05869311920559872,0.013197455195292696
EUR/USD,2023-01-20,1971.1982780284357,1354.5751674325425,751186,435219,A,Sideways,-0.04270525245108328,0.04700522982101976,0.08971048227210304
GOOGL,2023-01-23,1693.9063642472747,1552.3080582212983,801554,283140,A,Bearish,0.003615433039512214,0.07329021264980831,0.0696747796102961
EUR/USD,2023-01-24,336.859094286207,603.5882138175077,943324,626210,A,Sideways,0.04960321533988049,0.0041764356895022114,-0.04542677965037828
BTC/USD,2023-01-25,1849.5995769730075,139.79542595873434,69431,874030,A,Sideways,0.0673061781521807,0.03385315916873155,-0.033453018983449156
AAPL,2023-01-26,1752.8030879180437,256.12616820521197,56745,561219,B,Sideways,0.0408670631914361,0.06300306333522962,0.02213600014379352
EUR/USD,2023-01-27,1085.7923085395369,1938.9340662055579,51081,649456,A,Bullish,0.08571937630612766,-0.04786496845188129,-0.13358434475800895
GOOGL,2023-01-30,1223.4233279153655,661.3450772070985,989406,167782,A,Bullish,0.04774870192318606,-0.040620865146391405,-0.08836956706957746
BTC/USD,2023-01-31,858.1051373532475,1561.523980892454,927215,124099,A,Bearish,-0.03874642259907706,-0.09987449667430877,-0.06112807407523171
EUR/USD,2023-02-01,204.04711376185952,1286.860780823101,217204,559981,A,Bullish,-0.04698374313228548,0.09261882617956049,0.13960256931184598
AAPL,2023-02-02,736.8747591272117,825.6853153405023,937297,954244,B,Bearish,0.039238490060217984,0.08350897891926898,0.044270488859050994
AAPL,2023-02-03,1625.4215523362218,490.8057981715547,402415,995745,B,Bullish,-0.06142588626207715,0.05291365275188606,0.11433953901396321
AMZN,2023-02-06,108.80084370874543,330.6341945028722,601541,109944,A,Sideways,-0.08145703783794603,-0.08418479580467038,-0.0027277579667243507
AMZN,2023-02-07,733.6484262131739,1268.5246392738466,299335,749943,B,Bullish,0.006444574971238778,-0.010499422060098379,-0.016943997031337157
GOOGL,2023-02-08,856.5205178227923,1571.8041832117972,797643,732862,B,Bearish,0.06432831395579106,-0.07962164920568944,-0.1439499631614805
EUR/USD,2023-02-09,1121.0516455820534,1323.4180817281483,112086,804806,B,Bullish,-0.0797240315060273,-0.09681594654744029,-0.017091915041412983
EUR/USD,2023-02-10,1847.725671184245,1107.574053173401,457285,995178,B,Sideways,0.05837826475914584,0.02323659304251946,-0.03514167171662638
AMZN,2023-02-13,758.0573892953264,179.7073245201089,975250,248572,B,Bearish,0.06231440087030962,0.09216588341603768,0.02985148254572806
EUR/USD,2023-02-14,759.2110836028326,1940.1286774293292,415758,344615,B,Sideways,-0.003545199983691294,0.08057360468643002,0.08411880467012131
EUR/USD,2023-02-15,1501.2523714085219,1617.5569641436916,425528,571201,A,Sideways,-0.08853793799790265,0.03935096298708088,0.1278889009849835
AAPL,2023-02-16,959.2140876906336,656.361869731833,439458,911115,A,Bearish,-0.06508202975056272,-0.08067188316702573,-0.015589853416463004
AMZN,2023-02-17,526.7491635859658,1961.9436257818163,889403,198097,A,Sideways,0.04148525503238648,-0.045167192465539976,-0.08665244749792646
BTC/USD,2023-02-20,959.6350806521175,1243.575020309012,619071,831948,A,Sideways,0.04235558899818989,-0.035988654622941804,-0.0783442436211317
AMZN,2023-02-21,367.62833872161974,1206.6030505937683,650969,613084,A,Bullish,0.07967105503353308,0.05263001154911226,-0.027041043484420824
BTC/USD,2023-02-22,435.13527436182426,1521.3390409161111,613181,289213,B,Sideways,0.01653722931091657,0.06044983584702282,0.04391260653610625
AAPL,2023-02-23,1046.8987682050115,1642.3625973712612,973892,905765,A,Sideways,-0.07517852645724453,-0.022978775402015914,0.052199751055228616
GOOGL,2023-02-24,895.958354058641,1347.309353929855,500797,974737,A,Sideways,-0.07571701889900558,-0.016423200676478067,0.05929381822252751
EUR/USD,2023-02-27,1838.2072120293901,343.38191809578007,159763,85811,B,Sideways,0.04422647147136474,-0.09109819214476574,-0.1353246636161305
AAPL,2023-02-28,788.5484083216029,742.7082613895469,603248,191121,B,Bearish,-0.06324306697841978,-0.04217265631624781,0.021070410662171968
EUR/USD,2023-03-01,1203.1178655282827,1863.3589166194945,871820,758180,A,Bullish,-0.03432290007667893,-0.009742964564472018,0.024579935512206913
GOOGL,2023-03-02,1301.3021470471076,526.7696625033186,23601,381172,B,Sideways,-0.002557598615617218,-0.07660339072294849,-0.07404579210733127
GOOGL,2023-03-03,124.87946751783392,807.1173452912753,412236,564466,B,Sideways,-0.09504702448476976,-0.009346507848995739,0.08570051663577402
AAPL,2023-03-06,1360.7210068317502,920.9460775939724,140227,820253,B,Bearish,-0.05023619459601363,0.07063516245156007,0.12087135704757371
GOOGL,2023-03-07,438.2683370525277,934.8694804194591,725479,970231,B,Sideways,-0.01842207829854399,0.016264203945010672,0.03468628224355466
BTC/USD,2023-03-08,1926.0336031919649,1264.5852067395986,999555,455151,A,Bearish,-0.04407273630135875,-0.08421402899231754,-0.04014129269095879
GOOGL,2023-03-09,382.4591827309146,1891.8440917149444,693137,542287,B,Bullish,-0.07272593450648684,-0.06166573623394514,0.011060198272541705
EUR/USD,2023-03-10,887.7858350813451,557.3161524817594,282854,456738,A,Bullish,0.045602451559239476,-0.0050911299682887545,-0.05069358152752823
EUR/USD,2023-03-13,262.16436934942334,330.8526149717443,371858,301856,A,Sideways,0.062629531033597,-0.027702570035637586,-0.09033210106923459
EUR/USD,2023-03-14,1994.0610785073,475.1939307338809,680892,196623,B,Sideways,-0.048504204771255034,-0.02825459609078025,0.020249608680474783
EUR/USD,2023-03-15,1054.170519629361,1785.157310397612,654015,696532,B,Sideways,0.054883898921260665,0.005853489628718039,-0.049030409292542626
BTC/USD,2023-03-16,1231.2315329080832,1327.0405440448915,937105,296866,B,Bearish,-0.02288928711973723,0.016879184317891482,0.03976847143762871
AMZN,2023-03-17,227.44530703801223,643.2228995544042,588515,798057,A,Sideways,0.0013371581708005592,0.05937231405523821,0.05803515588443765
AAPL,2023-03-20,1524.9248937584377,1650.299184040373,661327,199237,B,Sideways,0.07120021497863058,-0.031806687307503065,-0.10300690228613364
EUR/USD,2023-03-21,498.82062688161295,1736.6029930905283,609577,995013,B,Bullish,0.04999073636048157,0.06109325660811735,0.011102520247635778
GOOGL,2023-03-22,1806.303149937356,1708.3772435115284,152094,532147,B,Sideways,0.06102337026323554,-0.0322777541774735,-0.09330112444070904
EUR/USD,2023-03-23,489.7653169158136,1845.9604139151534,437679,960113,B,Bullish,-0.07263096668272864,-0.08891340221175324,-0.0162824355290246
GOOGL,2023-03-24,462.3066692609665,579.257938329387,731031,961811,B,Sideways,-0.08605611483325411,0.010837530200958234,0.09689364503421234
GOOGL,2023-03-27,169.44436891138025,1534.5796646179288,793154,636274,A,Bullish,0.07868094581759741,0.0175804649789629,-0.06110048083863451
EUR/USD,2023-03-28,996.9271957089986,975.025044820866,683773,757942,B,Sideways,-0.022433146085781133,0.08690804912437203,0.10934119521015316
BTC/USD,2023-03-29,1173.198153198971,1699.797250491117,868482,284983,B,Bullish,-0.04242406438606383,0.045212265212494884,0.08763632959855872
GOOGL,2023-03-30,224.8464149138695,1484.132286607065,503648,290360,B,Bearish,0.04493925085236489,0.08355453049888792,0.03861527964652303
GOOGL,2023-03-31,1573.5024717205201,1575.2501483494768,759108,840385,A,Bullish,0.06728311931597133,0.08166944204860191,0.014386322732630574
EUR/USD,2023-04-03,961.2487860212525,1346.707491594036,762282,478697,B,Bullish,0.07249792437966018,0.020914822051648435,-0.05158310232801175
GOOGL,2023-04-04,1096.3415117224022,437.1146619924431,480083,454809,A,Bullish,-0.036800571774954535,0.005552413067289513,0.04235298484224405
GOOGL,2023-04-05,937.4492191826334,1135.551145904183,346740,990579,A,Sideways,0.07044247824033481,0.011488193432719979,-0.05895428480761483
EUR/USD,2023-04-06,861.4498156631194,1970.8725050965656,854164,50522,B,Sideways,-0.09181321112513093,0.09566616153544957,0.1874793726605805
EUR/USD,2023-04-07,1163.316629485614,1881.037326344526,406513,231233,B,Sideways,-0.09006770170805622,0.054633538349391775,0.144701240057448
AAPL,2023-04-10,394.9564672683538,182.03009801432216,69323,399102,B,Bearish,0.024703839034830893,-0.07874681904152084,-0.10345065807635173
BTC/USD,2023-04-11,445.66344794101514,413.14814988593054,286960,374393,A,Bearish,-0.08737872617689076,0.05568568135627999,0.14306440753317073
BTC/USD,2023-04-12,1737.3926799256828,350.28466956366765,565983,8485,A,Bullish,-0.0350781662979677,-0.06589239022035483,-0.030814223922387127
GOOGL,2023-04-13,1897.6193780539022,1479.3618289720614,413918,425671,A,Bearish,0.034551197249384796,-0.010529890198874875,-0.04508108744825967
BTC/USD,2023-04-14,809.2877009315306,1653.7921267281956,419458,768344,A,Bullish,-0.03254662078915474,-0.05790806556469315,-0.025361444775538408
GOOGL,2023-04-17,614.4148789727521,505.6715959902766,56841,935271,A,Bullish,-0.06408004371198081,0.03791661310664596,0.10199665681862677
AAPL,2023-04-18,1323.5991321541298,1061.1201166084752,391642,113701,A,Bullish,-0.043729875629231675,0.07546194723860714,0.1191918228678388
EUR/USD,2023-04-19,876.5949250863831,1697.33575322128,199784,946957,B,Bearish,-0.008484933549913642,-0.04192762292666381,-0.03344268937675017
EUR/USD,2023-04-20,148.23407575465524,1492.322935055876,108096,208352,B,Sideways,-0.004922828928903528,-0.08359785175836248,-0.07867502282945896
EUR/USD,2023-04-21,396.6899349957617,1130.2506904345119,93764,627926,A,Bearish,0.0566000462694404,-0.04030138038500735,-0.09690142665444776
BTC/USD,2023-04-24,1460.3472348100554,1221.6606118716684,447790,185514,B,Bullish,0.050030645886302516,0.03447237158643887,-0.015558274299863645
AAPL,2023-04-25,1351.9554896292875,1065.885039140932,611032,446093,B,Bullish,-0.008636439088772957,-0.03424797448911002,-0.02561153540033706
BTC/USD,2023-04-26,151.48238575661864,665.342057505759,815914,799658,A,Bearish,0.0691334698197543,-0.04437756648923932,-0.11351103630899362
BTC/USD,2023-04-27,521.747107672604,1173.5417864321307,534459,618693,A,Bullish,-0.07715257228172084,-0.06311296188314702,0.01403961039857382
AAPL,2023-04-28,539.0421135173357,1408.8820738951722,626043,810020,B,Bullish,-0.048929329954219704,-0.0004967146251132898,0.048432615329106414
AAPL,2023-05-01,1376.596212837584,1759.3135401355346,493148,211048,A,Bearish,0.06559529270045031,-0.04481023436856249,-0.1104055270690128
AAPL,2023-05-02,137.4500217332919,1308.9535725605713,633413,688069,A,Bearish,-0.024401192274769376,0.046202069827896625,0.070603262102666
AAPL,2023-05-03,297.8063057706903,1546.130920382,918154,966292,B,Bearish,0.09623631175876843,-0.08467551960155946,-0.1809118313603279
EUR/USD,2023-05-04,1619.8405622090597,404.1361064136887,369226,38019,A,Bullish,-0.006749343694432919,0.03280660662226351,0.039555950316696425
AMZN,2023-05-05,439.2348579032339,976.9592013976009,4696,963452,B,Bullish,0.05838712459275283,-0.052487997086446025,-0.11087512167919886
AMZN,2023-05-08,1340.2176049185618,117.73007767147726,127310,262497,B,Sideways,-0.01953859172352561,-0.0021441477896793765,0.017394443933846232
AAPL,2023-05-09,552.5472839887805,568.6898425910838,938562,590421,B,Sideways,-0.015009296187513926,-0.042782015593747884,-0.027772719406233957
AMZN,2023-05-10,288.9386462427558,1480.2772587147092,676673,901876,B,Bearish,-0.023423370543163305,0.044553735202159134,0.06797710574532244
AMZN,2023-05-11,562.0271628989628,1984.4389075637905,806581,722818,B,Sideways,0.043815124102162345,0.08906140805032733,0.04524628394816499
AAPL,2023-05-12,1472.3071705257523,288.43838921571023,917496,380747,A,Bullish,0.009503576811998898,0.08341535589396265,0.07391177908196375
AMZN,2023-05-15,1725.823289401943,862.8392001364476,840953,159598,A,Sideways,0.08875562227367381,0.016685243028818214,-0.0720703792448556
BTC/USD,2023-05-16,1677.417742677284,1620.134840528403,46740,991997,A,Bullish,-0.04982193669317905,-0.007477939348604329,0.042343997344574724
GOOGL,2023-05-17,854.6487062750641,487.6677057949078,107611,653873,A,Bearish,-0.07988745358331113,0.06366010188787638,0.14354755547118753
GOOGL,2023-05-18,1369.3617594842276,1154.6614036743438,399172,446414,B,Bearish,-0.021347702980156952,0.036665272525545994,0.058012975505702946
AAPL,2023-05-19,489.4701612900598,1492.8354624563822,469947,770460,B,Bullish,0.023342541529355193,-0.06328717715661343,-0.08662971868596862
EUR/USD,2023-05-22,656.9806874959252,1270.3723554943401,476828,493750,A,Sideways,0.072159787383099,0.06418384272260005,-0.007975944660498946
AAPL,2023-05-23,1803.0380551901276,457.24699576929066,774210,830827,B,Bearish,-0.030760622663934464,-0.01422312212105796,0.016537500542876504
EUR/USD,2023-05-24,124.70365467039846,775.2306805029049,329785,418247,A,Bearish,0.030757350224892316,-0.06220286800576498,-0.0929602182306573
GOOGL,2023-05-25,262.46620862348936,1589.2043905222547,589099,469758,A,Sideways,-0.0299602637953562,-0.04364052992070151,-0.013680266125345314
AAPL,2023-05-26,494.9838847774519,1153.0303768508315,446376,651102,A,Sideways,0.023443916598891626,-0.046494593950331536,-0.06993851054922316
BTC/USD,2023-05-29,150.41118736025746,109.9362657315342,707673,956205,B,Bullish,0.07696158940613018,0.0038413949206920206,-0.07312019448543816
AMZN,2023-05-30,444.7273266706149,1545.8824440533783,588520,375743,B,Sideways,-0.0537284715481182,-0.0531259818644249,0.0006024896836932941
EUR/USD,2023-05-31,1207.7789658424151,167.09157438645423,802849,26939,B,Sideways,-0.01915167157859217,-0.07528670251968478,-0.05613503094109261
AMZN,2023-06-01,900.7066461257461,1516.894187189341,681089,967649,B,Sideways,0.09865303928594932,-0.07526182987724786,-0.17391486916319718
AMZN,2023-06-02,1796.0762510462523,484.71306431395107,113492,938828,A,Bullish,0.07371140564989218,0.016655239427819324,-0.05705616622207285
AAPL,2023-06-05,1653.1427673030378,1920.3396122268223,31099,154939,B,Bullish,0.012927971579240388,0.046951857769875704,0.034023886190635316
AMZN,2023-06-06,749.4529682259644,799.0874274739605,754494,787635,B,Bearish,0.0033255183708550684,-0.03569339823233185,-0.03901891660318692
BTC/USD,2023-06-07,592.9045235194558,721.1700710423503,424177,935048,B,Bullish,-0.04307992353906381,-0.09306985803719658,-0.04998993449813278
AMZN,2023-06-08,821.4155755178072,382.88729563164486,931106,934403,A,Bearish,0.003441885538705877,-0.07455502261259786,-0.07799690815130374
AAPL,2023-06-09,1221.5603907781347,680.6480094314082,643762,816495,A,Sideways,0.06963629965598944,0.08293891206741141,0.013302612411421971
BTC/USD,2023-06-12,609.320917563465,1765.636447473581,272400,616168,B,Bearish,0.03703490265555612,-0.0012912680821094008,-0.03832617073766552
GOOGL,2023-06-13,1285.8829249133546,1993.03524149177,480336,529036,B,Bearish,-0.041991194364402684,-0.009285438076965052,0.03270575628743763
AMZN,2023-06-14,877.8821391633568,799.7881079630118,768876,237094,B,Sideways,-0.059707215789293416,-0.09239016433798182,-0.032682948548688404
AAPL,2023-06-15,1148.8896436187624,952.3601988136309,559969,380413,B,Bearish,-0.04695829260063418,0.045727404463379806,0.09268569706401399
GOOGL,2023-06-16,928.6404053571017,1471.9347825852003,92328,985133,A,Bullish,-0.0660481597214347,0.005613616186415787,0.07166177590785049
GOOGL,2023-06-19,659.4849431296436,1783.7719828836416,743800,868196,B,Bullish,-0.08087186079525682,-0.059583812782695846,0.021288048012560977
EUR/USD,2023-06-20,1902.0612832280976,1226.7842349548898,983293,152956,B,Bullish,-0.016172765111589008,-0.07798524796378857,-0.06181248285219956
BTC/USD,2023-06-21,1550.8510089035456,843.8988265378757,306505,157255,B,Bullish,-0.07734007912034646,-0.023322427273600302,0.05401765184674616
AMZN,2023-06-22,366.21503395625984,883.9814976123852,458719,465462,A,Bearish,-0.06561748845457913,0.06743239283900512,0.13304988129358425
AAPL,2023-06-23,1750.0891542060344,1421.674478343933,35540,895468,A,Bearish,0.00946493686789722,0.07305891184020491,0.06359397497230769
EUR/USD,2023-06-26,1026.119276674076,106.1147008481295,158608,675619,B,Sideways,-0.06708014526008506,0.020569276079127286,0.08764942133921234
BTC/USD,2023-06-27,1799.6492310987737,1277.2197411736972,85700,692319,B,Bearish,-0.08722404651381943,0.04550728544602853,0.13273133195984796
EUR/USD,2023-06-28,1619.724986299899,775.436719838579,981547,903957,B,Bearish,-0.036522229994422964,-0.07696884251942593,-0.040446612525002965
BTC/USD,2023-06-29,907.9056584915436,1608.97492942646,341676,427673,B,Bearish,-0.0559361802756065,0.01762521309357097,0.07356139336917747
BTC/USD,2023-06-30,142.69168580822304,276.68221566395107,712935,348823,B,Sideways,0.0030610375988753546,0.033393140697436346,0.030332103098560992
AMZN,2023-07-03,610.4869828313975,1217.584307201942,390770,126829,A,Bullish,-0.07952658308335814,-0.05985743141724156,0.019669151666116574
BTC/USD,2023-07-04,1129.105007855647,1013.8484907836352,397087,129216,A,Bearish,0.05035415753659564,0.07603094658205178,0.025676789045456144
EUR/USD,2023-07-05,1303.60861766968,1320.418499219932,47002,920607,A,Sideways,0.08124670388702773,-0.06100065249579605,-0.1422473563828238
BTC/USD,2023-07-06,589.9866023230843,223.22182951763986,50812,591189,B,Sideways,0.04868703479123887,-0.037304528030709924,-0.0859915628219488
AMZN,2023-07-07,364.77654073836584,1201.9691961134495,416842,768674,A,Sideways,0.006565407480278854,0.024111369404691718,0.017545961924412865
AMZN,2023-07-10,1686.3674499186684,1166.8207171230952,716339,176607,A,Bullish,0.07213356435777704,0.027670013026146162,-0.04446355133163088
EUR/USD,2023-07-11,1970.364143336749,1165.2541793907249,994561,410319,A,Bearish,0.038983675956301506,0.03987694819747345,0.000893272241171944
GOOGL,2023-07-12,1098.811346375103,1246.6265665332642,258906,623334,B,Sideways,-0.09788977550996203,-0.07759765738635888,0.020292118123603153
GOOGL,2023-07-13,426.19064311177664,1385.2890807300882,109946,353156,B,Bullish,-0.021181969445099383,0.06989288598571106,0.09107485543081044
BTC/USD,2023-07-14,617.383920386801,1629.4790993934625,67668,603566,A,Sideways,0.07019037988136001,0.0065694264566519694,-0.06362095342470804
AAPL,2023-07-17,134.9422854401868,612.6593682436072,100003,275535,B,Sideways,-0.030828228404946145,-0.005735641178986325,0.02509258722595982
BTC/USD,2023-07-18,1837.1677324649481,1667.5938793421178,736430,103476,A,Sideways,-0.0929569652948953,0.09621952490270191,0.18917649019759722
EUR/USD,2023-07-19,323.72705749126817,1046.6857963005618,221462,947405,A,Sideways,0.04923592771045446,0.04807565938820396,-0.0011602683222504961
EUR/USD,2023-07-20,1195.3813034770817,246.41073035522922,830430,383865,A,Sideways,0.06040765405657372,-0.07639879467612504,-0.13680644873269876
EUR/USD,2023-07-21,620.7049193056914,211.24676556356047,720174,622825,A,Bullish,-0.06788126099133829,0.05130783344524814,0.11918909443658643
EUR/USD,2023-07-24,1152.9382047800075,735.0528055225155,629889,868591,B,Bearish,0.0074680993686362385,-0.08095021320542611,-0.08841831257406235
EUR/USD,2023-07-25,1337.698737868542,1591.3042565117883,964111,986418,B,Bearish,-0.06160891220085485,-0.09450588749740303,-0.032896975296548184
AMZN,2023-07-26,1676.509427043683,1444.59377600774,270956,918472,B,Bearish,0.04384688380882934,-0.01927482094602058,-0.06312170475484992
GOOGL,2023-07-27,492.2004163451461,1598.3684328775723,62844,182429,B,Bearish,-0.04568990896450287,0.09871563456384375,0.1444055435283466
EUR/USD,2023-07-28,120.8920744511129,1082.8112072390577,726453,218980,A,Bullish,-0.03675697548733399,-0.06502321276102747,-0.028266237273693484
AAPL,2023-07-31,360.08269713073383,936.3780961154321,396395,504551,B,Bullish,0.06899417072802028,0.03452886870535801,-0.034465302022662264
AAPL,2023-08-01,1810.0354195113996,380.1598007419395,700158,956941,A,Bullish,-0.004735529558619139,-0.06532078675877613,-0.06058525720015699
AAPL,2023-08-02,1760.391147368779,723.566231857692,75601,822935,B,Sideways,0.033950890243649556,0.044957394991677224,0.011006504748027668
AAPL,2023-08-03,1235.0848941235859,924.636795730363,926779,487675,B,Sideways,-0.019525389855506475,0.001070733647565228,0.020596123503071703
AMZN,2023-08-04,1240.9820348239414,268.3408163912727,969078,76403,B,Sideways,-0.04039862856124892,0.03599434201787527,0.0763929705791242
AAPL,2023-08-07,1363.5696816378854,519.1627101513013,311001,959762,A,Bearish,0.025095612084932273,-0.05942536481715308,-0.08452097690208535
EUR/USD,2023-08-08,433.20542938455424,1236.6280587211038,388699,952228,A,Sideways,-0.06902848518423575,0.049125666504100385,0.11815415168833614
BTC/USD,2023-08-09,1837.3826972574236,1497.7599170544606,495700,589574,A,Bearish,-0.0254000328866274,0.09912381192454134,0.12452384481116874
AAPL,2023-08-10,895.6639972949389,1996.8602716466044,283844,337986,A,Sideways,-0.05819259252281555,0.033130100125191964,0.09132269264800752
AMZN,2023-08-11,827.9632036740452,1872.9153295527597,783215,105927,B,Bearish,0.0391589933881491,-0.0013040003854244697,-0.04046299377357357
AMZN,2023-08-14,1085.9436400373913,1320.873879116864,433680,802340,A,Sideways,0.08884176766922153,0.08463479772385296,-0.004206969945368566
AAPL,2023-08-15,189.2353368726046,900.3713012587368,174423,486833,A,Sideways,0.09910219360317327,-0.09682963155362474,-0.19593182515679802
BTC/USD,2023-08-16,415.93840063655085,1308.7369929456422,94330,444842,B,Bullish,-0.009944637911681847,0.045984703857164216,0.055929341768846064
